"Categoria";"Veículo";"Programa / seção";"Título";"Data ou ano";"Tema";"Papel de Andréa";"Nome usado";"Link da fonte";"Link do vídeo";"Vídeo / imagem / PDF";"Status do link";"Verificação";"Evidência";"Aparece no site";"Destaque";"Motivo de não aparecer";"Observações";"Verificado em"
"TV";"TV Gazeta";"Você Bonita";"Benefícios das batatas";"não informada";"Tipos de batata e seus benefícios";"Nutricionista convidada";"Andréa Marim";"https://www.tvgazeta.com.br/videos/beneficios-das-batatas/";"";"vídeo";"ativo";"Confirmada";"Descrição do vídeo: ""A nutricionista Andréa Marim fala mais sobre os diferentes tipos e os benefícios da batata!""";"Sim";"Sim";"";"";"2026-09-25"
"TV";"TV Gazeta";"";"Como armazenar alimentos";"não informada";"Armazenamento adequado de alimentos";"Nutricionista convidada";"Andréa Marim";"https://www.tvgazeta.com.br/videos/como-armazenar-alimentos/";"";"vídeo";"ativo";"Confirmada";"Descrição do vídeo: ""A nutricionista Andrea Marim fala sobre como armazenar alimentos de forma adequada"".";"Sim";"";"";"O levantamento indica o programa De A a Zuca; o nome do programa não aparece na página conferida.";"2026-09-25"
"TV";"TV Gazeta";"";"Descubra qual é a melhor farinha para sua saúde";"não informada";"Tipos de farinha e como escolher";"Nutricionista convidada";"Andréa Marim";"https://www.tvgazeta.com.br/?p=272807";"";"vídeo";"ativo";"Confirmada";"Descrição: ""A nutricionista Andrea Marim mostra vários tipos de farinha e ajuda você a descobrir qual usar"".";"Sim";"Sim";"";"O levantamento indica o programa De A a Zuca e a data 13/05/2019; nenhum dos dois aparece na página conferida.";"2026-09-25"
"TV";"RIT TV";"Nosso Programa";"Nutrição esportiva";"não informada";"Nutrição esportiva";"Entrevistada";"Andréa Marim";"https://fabricadasartes.com.br/six/clipping/rit-tv-nosso-programa-nutricao-esportiva/";"https://www.youtube.com/watch?v=xbYUhAvfvRM";"vídeo";"ativo";"Confirmada";"Clipping da assessoria Six: ""Cliente: Dra. Andrea Marim · Veículo: RIT TV · Seção: Nosso Programa — Andrea Marim, nutricionista, fala sobre nutrição esportiva.""";"Sim";"";"";"Encontrado na varredura de segunda camada (não estava no levantamento inicial). O vídeo no YouTube não foi aberto na checagem.";"2026-09-25"
"Revistas";"Revista SuplementAção";"Saúde";"Alimentação após os 35: prevenindo o sobrepeso com cuidados essenciais";"2024-02-07";"Alimentação da mulher após os 35, climatério e menopausa";"Autora do texto";"Andréa Marim";"https://www.revistasuplementacao.com.br/materias/detalhes/7797-alimentacao-apos-os-35-prevenindo-o-sobrepeso-com-cuidados-essenciais.html";"";"texto, imagem";"ativo";"Confirmada";"Assinatura: ""Por: Andrea Marim, nutricionista"".";"Sim";"Sim";"";"";"2026-09-25"
"Revistas";"Revista SuplementAção";"Alimentação & Nutrição";"Saiba quais as quantidades de proteína e carboidrato que o nosso corpo precisa diariamente";"2023-06-23";"Necessidades de proteína e carboidrato";"Autora do texto";"Andréa Marim";"https://www.revistasuplementacao.com.br/materias/detalhes/7511-saiba-quais-as-quantidades-de-proteina-e-carboidrato-que-o-nosso-corpo-precisa-diariamente.html";"";"texto, imagem";"ativo";"Confirmada";"Texto assinado ao final: ""Andréa Marim, nutricionista especialista em nutrição esportiva"".";"Sim";"";"";"";"2026-09-25"
"Revistas";"Revista SuplementAção";"Esportes & Exercícios";"Mitos e verdades sobre alimentação e ganho de massa muscular";"2020-08-14";"Proteína, treino de força e ganho de massa muscular";"Especialista consultada";"Andréa Marim";"https://www.revistasuplementacao.com.br/materias/detalhes/5598-mitos-e-verdades-sobre-alimentacao-e-ganho-de-massa-muscular.html";"";"texto, imagem";"ativo";"Confirmada";"""A nutricionista Andrea Marim, especialista em nutrição esportiva, separou alguns mitos e verdades sobre o assunto.""";"Sim";"Sim";"";"";"2026-09-25"
"Revistas";"Revista SuplementAção";"Edição nº 56 — matéria de capa";"Suplementação Infantil";"2019-08-07";"Suplementação na infância";"Especialista consultada";"Andréa Marim";"https://www.revistasuplementacao.com.br/impresso/detalhes/4830-edicao-na%C2%B056-suplementacao-infantil.html";"";"texto, imagem";"ativo";"Confirmada";"Listada entre as fontes consultadas: ""Dra. Andrea Marim: Nutricionista especializada em Nutrição Esportiva...""";"Não";"";"Tema infantil fora do foco atual e trecho sobre whey protein para crianças pode ser lido como indicação genérica.";"";"2026-09-25"
"Revistas";"Revista SuplementAção";"Edição nº 49";"Dieta: Cetogênica";"2018-05-10";"Dieta cetogênica";"Especialista consultada";"Andréa Marim";"https://www.revistasuplementacao.com.br/impresso/detalhes/3816-dieta-cetogenica.html";"";"texto, imagem";"ativo";"Confirmada";"""Segundo a nutricionista Andrea Marim, a dieta é indicada para pacientes que precisam de uma redução de gordura corporal em curto prazo.""";"Não";"";"Associa a estratégia a ""redução em curto prazo"", o que conflita com o posicionamento atual (sem dietas restritivas nem prazos).";"";"2026-09-25"
"Revistas";"Viva Saúde";"";"Mais garapa";"2018-01-01";"Caldo de cana (garapa)";"Especialista consultada";"Andréa Marim";"https://www2.unicamp.br/unicamp/sites/default/files/2018-01/impressao_boxnet_2018-01-02_-_15h36m06s.pdf";"";"PDF";"ativo";"Parcial";"PDF de clipping (Boxnet, arquivado no site da Unicamp) com cabeçalho ""Mais garapa · 1/1/2018 · VIVA SAÚDE/SÃO PAULO"". As páginas são imagens; a menção ao nome não pôde ser lida automaticamente.";"Não";"";"Confirmar visualmente a citação no PDF antes de publicar.";"";"2026-09-25"
